label,format,number,period,composer,work,performers,time
London,LP,CS 7046,1,Anon. 17th Cy.,Minué,Woods,1.5,,,,,,,,,,,
Dorian,CD,CD DOR-90195,1,Anon. 17th Cy.,Paduana Lachrymae,Tilney (virginal),5.4,,,,,,,,,,,
London,LP,CS 7046,1,Anon. 17th Cy.,Xácara,Woods,2.6,,,,,,,,,,,
Nonesuch,LP,LP H-71153,1,Anon. 17th Cy. (early),various,"Mathiesen, Concentus Musicus of Denmark",,,,,,,,,,,,
Koch Schwann,CD,CD 310 002,1,"Anon. 17th Cy., late","Sextet-Parthia for Winds, No. 9",Consortium Classicum,11.3,,,,,,,,,,,
Coronata,LP,LP COR 1005,1,Anon. 18th Cy.,"Chorale, ""Erbarm dich mein, o Herre Gott""",Wilhelm,5.1,,,,,,,,,,,
Teldec,LP,LP 6.41155,1,Anon. 18th Cy.,Noël,"Jürgens, Monteverdi Choir of Hamburg",1.3,,,,,,,,,,,
Capriccio,CD,CD 10 059,1,"Anon. c. 1700, name beginning with H.","Cantate Domino canticum novum (Psalm 149, Sing unto the Lord a New Song)","Schreier, Knothe, Capella Sagittariana",10.2,,,,,,,,,,,
Avant,LP,LP 1007,1,"Antegnati, Constanzo (Italian, 1549-1624)",Canzon 9 (La Battera),members of Los Angeles Philharmonic and San Francisco Symphony Orchestras,1.8,,,,,,,,,,,
Avant,LP,LP 1007,1,"Antegnati, Constanzo (Italian, 1549-1624)",Canzon vigesima (La Moranda),members of Los Angeles Philharmonic and San Francisco Symphony Orchestras,2.1,,,,,,,,,,,
Deutsche Harmonia Mundi,CD,CD 7978-2,1,"Antonii, Giovanni Battista Degli",Ricercar for Solo Cello No. 10 in g,Bylsma,3.6,,,,,,,,,,,
Deutsche Harmonia Mundi,CD,CD 7978-2,1,"Antonii, Giovanni Battista Degli",Ricercar for Solo Cello No. 3 in F,Bylsma,2.3,,,,,,,,,,,
Telefunken,LP,LP 6.42653,1,"Antonii, Giovanni Battista Degli",Ricercata No. 8 for Cello Solo,Bylsma,4.1,,,,,,,,,,,
DG Archiv,CD,CD 453 441-2,1,"Arañés, Juan (fl. early 17th cy.)",Chacona,Piffaro,,,,,,,,,,,,
Erato,CD,CD 2292-45977-2,1,"Araujo, Juan de (Spanish/Mexican, 1646-1712)","Coflades de la estleya, Los","Cohen, Boston Camerata",5.7,,,,,,,,,,,
Titanic,CD,CD Ti-157,1,"Araujo, Juan de (Spanish/Mexican, 1646-1712)",Fantasia de 4° tom,Brauchli,9.6,,,,,,,,,,,
